name,author,content,tag
望天門山,李白,天門中斷楚江開，碧水東流至此回。兩岸青山相對出，孤帆一片日邊來。,山水詩，小學
俠客行,李白,趙客縵胡纓，吳鉤霜雪明。銀鞍照白馬，颯沓如流星。十步殺一人，千里不留行。事了拂衣去，深藏身與名。閒過信陵飲，脫劍膝前橫。將炙啖朱亥，持觴勸侯嬴。三杯吐然諾，五嶽倒為輕。眼花耳熱後，意氣素霓生。救趙揮金槌，邯鄲先震驚。千秋二壯士，煊赫大梁城。縱死俠骨香，不慚世上英。誰能書閤下，白首太玄經。,
菩薩蠻·舉頭忽見衡陽雁,李白,舉頭忽見衡陽雁。千聲萬字情何限。叵而薄情夫。一行書也無。泣歸香閣恨。和淚掩紅粉。待雁卻回時。也無書寄伊。,思念詩
菩薩蠻·平林漠漠煙如織,李白,平林漠漠煙如織，寒山一帶傷心碧。暝色入高樓，有人樓上愁。玉階空佇立，宿鳥歸飛急。何處是歸程？長亭連短亭。,描寫秋天，豪放詩
行路難其一,李白,金樽清酒鬥十千，玉盤珍羞直萬錢。停杯投箸不能食，拔劍四顧心茫然。欲渡黃河冰塞川，將登太行雪滿山。閒來垂釣碧溪上，忽復乘舟夢日邊。行路難，行路難，多歧路，今安在。長風破浪會有時，直掛雲帆濟滄海。,勵志詩，友情詩，哲理詩，唐詩三百首，初中，懷才不遇
送友人,李白,青山橫北郭，白水繞東城。此地一為別，孤蓬萬里徵。浮雲遊子意，落日故人情。揮手自茲去，蕭蕭班馬鳴。,送別詩，友情詩，唐詩三百首，初中
峨眉山月歌,李白,峨眉山月半輪秋，影入平羌江水流。夜發清溪向三峽，思君不見下渝州。,描寫秋天，初中
渡荊門送別,李白,渡遠荊門外，來從楚國遊。山隨平野盡，江入大荒流。月下飛天境，雲生結海樓。仍憐故鄉水，萬里送行舟。,送別詩，思鄉詩，唐詩三百首，初中
關山月,李白,明月出天山，蒼茫雲海間。長風幾萬裡，吹度玉門關。漢下白登道，胡窺青海灣。由來征戰地，不見有人還。戍客望邊邑，思歸多苦顏。高樓當此夜，嘆息未應閒。,思鄉詩，唐詩三百首
送孟浩然之廣陵,李白,故人西辭黃鶴樓，煙花三月下揚州。孤帆遠影碧空盡，唯見長江天際流。,送別詩，友情詩，唐詩三百首，小學
聞王昌齡左遷龍標，遙有此寄,李白,楊花落儘子規啼，聞道龍標過五溪。我寄愁心與明月，隨君直到夜郎西。,友情詩，思鄉詩，初中
古朗月行,李白,小時不識月，呼作白玉盤。又疑瑤臺鏡，飛在青雲端。仙人垂兩足，桂樹作團團。白兔搗藥成，問言與誰餐。蟾蜍蝕圓影，大明夜已殘。羿昔落九烏，天人清且安。陰精此淪惑，去去不足觀。憂來其如何，悽愴摧心肝。,描寫月亮
登金陵鳳凰臺,李白,鳳凰臺上鳳凰遊，鳳去臺空江自流。吳宮花草埋幽徑，晉代衣冠成古丘。三山半落青天外，二水中分白鷺洲。總為浮雲能蔽日，長安不見使人愁。,唐詩三百首，高中，懷古詩，詠史詩
清平樂·禁庭春晝,李白,禁庭春晝，鶯羽披新繡。百草巧求花下鬥，只賭珠璣滿鬥。日晚卻理殘妝，御前閒舞霓裳。誰道腰肢窈窕，折旋笑得君王。,
清平樂·禁闈清夜,李白,禁闈清夜，月探金窗罅。玉帳鴛鴦噴蘭麝，時落銀燈香□。女伴莫話孤眠，六宮羅綺三千。一笑皆生百媚，宸衷教在誰邊？,
春夜洛城聞笛,李白,誰家玉笛暗飛聲，散入春風滿洛城。此夜曲中聞折柳，何人不起故園情。,思鄉詩，初中
憶秦娥·簫聲咽,李白,簫聲咽，秦娥夢斷秦樓月。秦樓月，年年柳色，灞陵傷別。樂遊原上清秋節，咸陽古道音塵絕。音塵絕，西風殘照，漢家陵闕。,思念詩，豪放詩
宣州謝朓樓餞別校書叔雲,李白,棄我去者，昨日之日不可留；亂我心者，今日之日多煩憂。長風萬里送秋雁，對此可以酣高樓。蓬萊文章建安骨，中間小謝又清發。俱懷逸興壯思飛，欲上青天攬明月。抽刀斷水水更流，舉杯銷愁愁更愁。人生在世不稱意，明朝散發弄扁舟。,唐詩三百首，初中
短歌行,李白,白日何短短，百年苦易滿。蒼穹浩茫茫，萬劫太極長。麻姑垂兩鬢，一半已成霜。天公見玉女，大笑億千場。吾欲攬六龍，回車掛扶桑。北斗酌美酒，勸龍各一觴。富貴非所願，與人駐顏光。,惜時，人生
春思,李白,燕草如碧絲，秦桑低綠枝。當君懷歸日，是妾斷腸時。春風不相識，何事入羅幃。,描寫春天，思念詩，唐詩三百首
夜宿山寺,李白,危樓高百尺，手可摘星辰。不敢高聲語，恐驚天上人。,
行路難其二,李白,大道如青天，我獨不得出。羞逐長安社中兒，赤雞白狗賭梨慄。彈劍作歌奏苦聲，曳裾王門不稱情。淮陰市井笑韓信，漢朝公卿忌賈生。君不見昔時燕家重郭隗，擁篲折節無嫌猜。劇辛樂毅感恩分，輸肝剖膽效英才。昭王白骨縈蔓草，誰人更掃黃金臺？行路難，歸去來！分類標籤:唐詩三百首【註釋】：　　“大道如青天，我獨不得出。”這個開頭與第一首不同。第一首用賦的手法，從筵席上的美酒佳餚寫起，起得比較平。這一首，一開頭就陡起壁立，讓久久鬱積在內心裡的感受，一下子噴發出來。亦賦亦比，使讀者感到它的思想感情內容十分深廣。後來孟郊寫了“出門如有礙，誰謂天地寬”的詩句，可能受了此詩的啟發，但氣局比李白差多了。能夠和它相比的，還是李白自己的詩：“蜀道之難，難於上青天”這類詩句，大概只有李白那種胸襟才能寫得出。不過，《蜀道難》用徒步上青天來比喻蜀道的艱難，使人直接想到那一帶山川的艱險，卻並不感到文意上有過多的埋伏。而這一首，用青天來形容大道的寬闊，照說這樣的大道是易於行路的，但緊接著卻是“我獨不得出”，就讓人感到這裡面有許多潛臺詞。這樣，這個警句的開頭就引起了人們對下文的注意。　　“羞逐”以下六句，是兩句一組。“羞逐”兩句是寫自己的不願意。唐代上層社會喜歡拿鬥雞進行遊戲或賭博。唐玄宗曾在宮內造雞坊，鬥雞的小兒因而得寵。當時有“生兒不用識文字，鬥雞走狗勝讀書”的民謠。如果要去學鬥雞，是可以交接一些紈袴子弟，在仕途上開啟一點後門的。但李白對此嗤之以鼻。所以宣告自己羞於去追隨長安里社中的小兒。這兩句和他在《答王十二寒夜獨酌有懷》中所說的“君不能狸膏金距學鬥雞，坐令鼻息幹虹霓”是一個意思。都是說他不屑與“長安社中兒”為伍。那末，去和那些達官貴人交往呢？“曳裾王門不稱情，彈劍作歌奏苦聲。”“曳裾王門”，即拉起衣服前襟，出入權貴之門。“彈劍作歌”，用的是馮諼的典故。馮諼在孟嘗君門下作客，覺得孟嘗君對自己不夠禮遇，開始時經常彈劍而歌，表示要回去。李白是希望“平交王侯”的，而現在在長安，權貴們並不把他當一回事，因而使他象馮諼一樣感到不能忍受。這兩句是寫他的不稱意。“淮陰市井笑韓信，漢朝公卿忌賈生。”韓信未得志時，在淮陰曾受到一些市井無賴們的嘲笑和侮辱。賈誼年輕有才，漢文帝本打算重用，但由於受到大臣灌嬰、馮敬等的忌妒、反對，後來竟遭貶逐。李白借用了韓信、賈誼的典故，寫出在長安時一般社會上的人對他嘲笑、輕視，而當權者則加以忌妒和打擊。這兩句是寫他的不得志。　　“君不見”以下六句，深情歌唱當初燕國君臣互相尊重和信任，流露他對建功立業的渴望，表現了他對理想的君臣關係的追求。戰國時燕昭王為了使國家富強，尊郭隗為師，於易水邊築臺置黃金其上，以招攬賢士。於是樂毅、鄒衍、劇辛紛紛來歸，為燕所用。燕昭王對於他們不僅言聽計從，而且屈己下士，折節相待。當鄒衍到燕時，昭王“擁篲先驅”，親自掃除道路迎接，恐怕灰塵飛揚，用衣袖擋住掃帚，以示恭敬。李白始終希望君臣之間能夠有一種比較推心置腹的關係。他常以伊尹、姜尚、張良、諸葛亮自比，原因之一，也正因為他們和君主之間的關係，比較符合自己的理想。但這種關係在現實中卻是不存在的。唐玄宗這時已經腐化而且昏庸，根本沒有真正的求賢、重賢之心，下詔召李白進京，也只不過是裝出一副愛才的姿態，並要他寫一點歌功頌德的文字而已。“昭王白骨縈蔓草，誰人更掃黃金臺？”慨嘆昭王已死，沒有人再灑掃黃金臺，實際上是表明他對唐玄宗的失望。詩人的感慨是很深的，也是很沉痛的。　　以上十二句，都是承接“大道如青天，我獨不得出”，對“行路難”作具體描寫的。既然朝廷上下都不是看重他，而是排斥他，那末就只有拂袖而去了。“行路難，歸去來！”在當時的情況下，他只有此路可走。這兩句既是沉重的嘆息，也是憤怒的抗議。　　這首詩表現了李白對功業的渴望，流露出在困頓中仍然想有所作為的積極用世的熱情，他嚮往象燕昭王和樂毅等人那樣的風雲際會，希望有“輸肝剖膽效英才”的機緣。篇末的“行路難，歸去來”，只是一種憤激之詞，只是比較具體地指要離開長安，而不等於要消極避世，並且也不排斥在此同時他還抱有它日東山再起“直掛雲帆濟滄海”的幻想。（餘恕誠）,唐詩三百首
從軍行,李白,從軍玉門道，逐虜金微山。笛奏梅花曲，刀開明月環。鼓聲鳴海上，兵氣擁雲間。願斬單于首，長驅靜鐵關。,戰爭詩
從軍行,李白,百戰沙場碎鐵衣，城南已合數重圍。突營射殺呼延將，獨領殘兵千騎歸。,邊塞詩，戰爭詩
越中覽古,李白,越王句踐破吳歸，義士還鄉盡錦衣。宮女如花滿春殿，只今惟有鷓鴣飛。,懷古詩
秋思,李白,春陽如昨日，碧樹鳴黃鸝。蕪然蕙草暮，颯爾涼風吹。天秋木葉下，月冷莎雞悲。坐愁群芳歇，白露凋華滋。,描寫秋天
秋思,李白,燕支黃葉落，妾望自登臺。海上碧雲斷，單于秋色來。胡兵沙塞合，漢使玉關回。徵客無歸日，空悲蕙草摧。,
把酒問月,李白,青天有月來幾時，我今停杯一問之：人攀明月不可得，月行卻與人相隨？皎如飛鏡臨丹闕，綠煙滅盡清輝發？但見宵從海上來，寧知曉向雲間沒？白兔搗藥秋復春，嫦娥孤棲與誰鄰？今人不見古時月，今月曾經照古人。古人今人若流水，共看明月皆如此。唯願當歌對酒時，月光長照金樽裡。,描寫月亮，哲理詩
玉階怨,李白,玉階生白露，夜久侵羅襪。卻下水晶簾，玲瓏望秋月。,唐詩三百首，孤獨
古風其十九,李白,西上蓮花山，迢迢見明星。素手把芙蓉，虛步躡太清。霓裳曳廣帶，飄拂昇天行。邀我登雲臺，高揖衛叔卿。恍恍與之去，駕鴻凌紫冥。俯視洛陽川，茫茫走胡兵。流血塗野草，豺狼盡冠纓。,
送別,李白,斗酒渭城邊，壚頭醉不眠。梨花千樹雪，楊葉萬條煙。惜別傾壺醑，臨分贈馬鞭。看君潁上去，新月到應圓。,
送別,李白,水色南天遠，舟行若在虛。遷人發佳興，吾子訪閒居。日落看歸鳥，潭澄羨躍魚。聖朝思賈誼，應降紫泥書。,
送別,李白,尋陽五溪水，沿洄直入巫山裡。勝境由來人共傳，君到南中自稱美。送君別有八月秋，颯颯蘆花復益愁。雲帆望遠不相見，日暮長江空自流。,
廬山謠寄盧侍御虛舟,李白,我本楚狂人，鳳歌笑孔丘。手持綠玉杖，朝別黃鶴樓。五嶽尋仙不辭遠，一生好入名山遊。廬山秀出南鬥傍，屏風九疊雲錦張，影落明湖青黛光。金闕前開二峰長，銀河倒掛三石樑。香爐瀑布遙相望，回崖沓嶂凌蒼蒼。翠影紅霞映朝日，鳥飛不到吳天長。登高壯觀天地間，大江茫茫去不還。黃雲萬里動風色，白波九道流雪山。好為廬山謠，興因廬山發。閒窺石鏡清我心，謝公行處蒼苔沒。早服還丹無世情，琴心三疊道初成。遙見仙人彩雲裡，手把芙蓉朝玉京。先期汗漫九垓上，願接盧敖遊太清。,山水詩，唐詩三百首
長歌行,李白,桃李得日開，榮華照當年。東風動百物，草木盡欲言。枯枝無醜葉，涸水吐清泉。大力運天地，羲和無停鞭。功名不早著，竹帛將何宣。桃李務青春，誰能貫白日。富貴與神仙，蹉跎成兩失。金石猶銷鑠，風霜無久質。畏落日月後，強歡歌與酒。秋霜不惜人，倏忽侵蒲柳。,
下終南山過斛斯山人宿置酒,李白,暮從碧山下，山月隨人歸。卻顧所來徑，蒼蒼橫翠微。相攜及田家，童稚開荊扉。綠竹入幽徑，青蘿拂行衣。歡言得所憩，美酒聊共揮。長歌吟松風，曲盡河星稀。我醉君復樂，陶然共忘機。,田園詩，唐詩三百首
聽蜀僧浚彈琴,李白,蜀僧抱綠綺，西下峨眉峰。為我一揮手，如聽萬壑鬆。客心洗流水，餘響入霜鍾。不覺碧山暮，秋雲暗幾重。,唐詩三百首
金陵酒肆留別,李白,風吹柳花滿店香，吳姬壓酒喚客嘗。金陵子弟來相送，欲行不行各盡觴。請君試問東流水，別意與之誰短長。,唐詩三百首
子夜四時歌·夏歌,李白,鏡湖三百里，菡萏發荷花。五月西施採，人看隘若耶。回舟不待月，歸去越王家。,唐詩三百首
子夜四時歌·冬歌,李白,明朝驛使發，一夜絮徵袍。素手抽針冷，那堪把剪刀。裁縫寄遠道，幾日到臨洮。,唐詩三百首
贈孟浩然,李白,吾愛孟夫子，風流天下聞。紅顏棄軒冕，白首臥鬆雲。醉月頻中聖，迷花不事君。高山安可仰，徒此揖清芬。,唐詩三百首，讚美詩
雜詩,李白,白日與明月，晝夜尚不閒。況爾悠悠人，安得久世間。傳聞海水上，乃有蓬萊山。玉樹生綠葉，靈仙每登攀。一食駐玄發，再食留紅顏。吾欲從此去，去之無時還。,
怨情,李白,美人卷珠簾，深坐顰蛾眉。但見淚痕溼，不知心恨誰。,唐詩三百首
怨情,李白,新人如花雖可寵，故人似玉由來重。花性飄揚不自持，玉心皎潔終不移。故人昔新今尚故，還見新人有故時。請看陳後黃金屋，寂寂珠簾生網絲。,
夜泊牛渚懷古,李白,牛渚西江夜，青天無片雲。登舟望秋月，空憶謝將軍。餘亦能高詠，斯人不可聞。明朝掛帆席，楓葉落紛紛。,描寫月亮，唐詩三百首
陌上桑,李白,美女渭橋東，春還事蠶作。五馬如飛龍，青絲結金絡。不知誰家子，調笑來相謔。妾本秦羅敷，玉顏豔名都。綠條映素手，採桑向城隅。使君且不顧，況復論秋胡。寒螿愛碧草，鳴鳳棲青梧。託心自有處，但怪傍人愚。徒令白日暮，高駕空踟躕。,讚美詩
烏夜啼,李白,黃雲城邊烏欲棲，歸飛啞啞枝上啼。機中織錦秦川女，碧紗如煙隔窗語。停梭悵然憶遠人，獨宿孤房淚如雨。,
樑甫吟,李白,長嘯樑甫吟，何時見陽春？君不見，朝歌屠叟辭棘津，八十西來釣渭濱。寧羞白髮照清水，逢時壯氣思經綸。廣張三千六百釣，風期暗與文王親。大賢虎變愚不測，當年頗似尋常人。君不見，高陽酒徒起草中，長揖山東隆準公。入門不拜逞雄辯，兩女輟洗來趨風。東下齊城七十二，指揮楚漢如旋蓬。狂客落魄尚如此，何況壯士當群雄！我欲攀龍見明主，雷公砰訇震天鼓。帝旁投壺多玉女，三時大笑開電光，倏爍晦冥起風雨。閶闔九門不可通，以額扣關閽者怒。白日不照我精誠，杞國無事憂天傾。猰貐磨牙競人肉，騶虞不折生草莖。手接飛猱搏雕虎，側足焦原未言苦。智者可卷愚者豪，世人見我輕鴻毛。力排南山三壯士，齊相殺之費二桃。吳楚弄兵無劇孟，亞夫咍爾為徒勞。樑甫吟，聲正悲。張公兩龍劍，神物合有時。風雲感會起屠釣，大人臲屼當安之。,懷古詩
訪戴天山道士不遇,李白,犬吠水聲中，桃花帶雨濃。樹深時見鹿，溪午不聞鍾。野竹分青靄，飛泉掛碧峰。無人知所去，愁倚兩三鬆。,
與夏十二登岳陽樓,李白,樓觀岳陽盡，川迥洞庭開。雁引愁心去，山銜好月來。雲間連下榻，天上接行杯。醉後涼風起，吹人舞袖回。,山水詩
山中問答,李白,問餘何意棲碧山，笑而不答心自閒。桃花流水窅然去，別有天地非人間。,
戰城南,李白,戰地何昏昏。戰士如群蟻。氣重日輪紅。血染蓬蒿紫。烏烏銜人肉。食悶飛不起。昨日城上人。今日城下鬼。旗色如羅星。鼙聲殊未已。妾家夫與兒。俱在鼙聲裡。,
戰城南,李白,去年戰，桑乾源。今年戰，蔥河道。洗兵條支海上波，放馬天山雪中草。萬里長征戰，三軍盡衰老。匈奴以殺戮為耕作，古來唯見白骨黃沙田。秦家築城避胡處，1漢家還有烽火燃。烽火燃不息，征戰無已時。2野戰格鬥死，敗馬號鳴向天悲。鳥鳶啄人腸，銜飛上掛枯樹枝。3士卒塗草莽，將軍空爾為。乃知兵者是凶器，聖人不得已而用之。,戰爭詩，憂國憂民，諷刺詩
清溪行,李白,清溪清我心，水色異諸水。借問新安江，見底何如此。人行明鏡中，鳥度屏風裡。向晚猩猩啼，空悲遠遊子。,
南陵別兒童入京,李白,白酒新熟山中歸，黃雞啄黍秋正肥。呼童烹雞酌白酒，兒女嬉笑牽人衣。高歌取醉欲自慰，起舞落日爭光輝。遊說萬乘苦不早，著鞭跨馬涉遠道。會稽愚婦輕買臣，餘亦辭家西入秦。仰天大笑出門去，我輩豈是蓬蒿人。,
古意,李白,君為女蘿草，妾作兔絲花。輕條不自引，為逐春風斜。百丈託遠鬆，纏綿成一家。誰言會面易，各在青山崖。女蘿發馨香，兔絲斷人腸。枝枝相糾結，葉葉競飄揚。生子不知根，因誰共芬芳。中巢雙翡翠，上宿紫鴛鴦。若識二草心，海潮亦可量。,閨怨詩
北風行,李白,燭龍棲寒門，光曜猶旦開。日月照之何不及此，唯有北風號怒天上來。燕山雪花大如席，片片吹落軒轅臺。幽州思婦十二月，停歌罷笑雙蛾摧。倚門望行人，念君長城苦寒良可哀。別時提劍救邊去，遺此虎紋金鞞靫。中有一雙白羽箭，蜘蛛結網生塵埃。箭空在，人今戰死不復回。不忍見此物，焚之已成灰。黃河捧土尚可塞，北風雨雪恨難裁。,
送友人入蜀,李白,見說蠶叢路，崎嶇不易行。山從人面起，雲傍馬頭生。芳樹籠秦棧，春流繞蜀城。升沉應已定，不必問君平。,送別詩，山水詩，友情詩，初中
襄陽歌,李白,落日欲沒峴山西，倒著接籬花下迷。襄陽小兒齊拍手，攔街爭唱白銅鞮。傍人借問笑何事，笑殺山翁醉似泥。鸕鶿杓，鸚鵡杯。百年三萬六千日，一日須傾三百杯。遙看漢水鴨頭綠，恰似葡萄初醱醅。此江若變作春酒，壘麴便築糟丘臺。千金駿馬換小妾，笑坐雕鞍歌落梅。車傍側掛一壺酒，鳳笙龍管行相催。咸陽市中嘆黃犬，何如月下傾金罍。君不見晉朝羊公一片石，龜頭剝落生莓苔。淚亦不能為之墮，心亦不能為之哀。清風朗月不用一錢買，玉山自倒非人推。舒州杓，力士鐺，李白與爾同死生。襄王雲雨今安在，江水東流猿夜聲。,
採蓮曲,李白,若耶溪邊採蓮女，笑隔荷花共人語。日照新妝水底明，風飄香袖空中舉。岸上誰家遊冶郎，三三五五映垂楊。紫騮嘶入落花去，見此踟躕空斷腸。,描寫荷花
答王十二寒夜獨酌有懷,李白,昨夜吳中雪，子猷佳興發。萬里浮雲卷碧山，青天中道流孤月。孤月滄浪河漢清，北斗錯落長庚明。懷餘對酒夜霜白，玉床金井水崢嶸。人生飄忽百年內，且須酣暢萬古情。君不能狸膏金距學鬥雞，坐令鼻息吹虹霓。君不能學哥舒橫行青海夜帶刀，西屠石堡取紫袍。吟詩作賦北窗裡，萬言不直一杯水。世人聞此皆掉頭，有如東風射馬耳。魚目亦笑我，請與明月同。驊騮拳跼不能食，蹇驢得志鳴春風。折楊皇華合流俗，晉君聽琴枉清角。巴人誰肯和陽春。楚地由來賤奇璞。黃金散盡交不成，自首為儒身被輕。一談一笑失顏色，蒼蠅貝錦喧謗聲。曾參豈是殺人者，讒言三及慈母驚。與君論心握君手，榮辱於餘亦何有。孔聖猶聞傷鳳麟，董龍更是何雞狗。一生傲岸苦不諧，恩疏媒勞志多乖。嚴陵高揖漢天子，何必長劍拄頤事玉階。達亦不足貴，窮亦不足悲。韓信羞將絳灌比，禰衡恥逐屠沽兒。君不見李北海，英風豪氣今何在。君不見裴尚書，土墳三尺蒿棘居。少年早欲五湖去，見此彌將鐘鼎疏。,
遠別離,李白,遠別離，古有皇英之二女，乃在洞庭之南，瀟湘之浦。海水直下萬里深，誰人不言此離苦。日慘慘兮雲冥冥，猩猩啼煙兮鬼嘯雨。我縱言之將何補，皇穹竊恐不照餘之忠誠。雲憑憑兮欲吼怒，堯舜當之亦禪禹。君失臣兮龍為魚，權歸臣兮鼠變虎。或言堯幽囚，舜野死，九疑聯綿皆相似，重瞳孤墳竟何是。帝子泣兮綠雲間，隨風波兮去無還。慟哭兮遠望，見蒼梧之深山。蒼梧山崩湘水絕，竹上之淚乃可滅。,憂國憂民
客中行,李白,蘭陵美酒鬱金香，玉碗盛來琥珀光。但使主人能醉客，不知何處是他鄉。,讚美詩
白馬篇,李白,龍馬花雪毛，金鞍五陵豪。秋霜切玉劍，落日明珠袍。鬥雞事萬乘，軒蓋一何高。弓摧南山虎，手接太行猱。酒後競風采，三杯弄寶刀。殺人如剪草，劇孟同遊遨。發憤去函谷，從軍向臨洮。叱吒經百戰，匈奴盡奔逃。歸來使酒氣，未肯拜蕭曹。羞入原憲室，荒淫隱蓬蒿。,描寫馬
楊叛兒,李白,君歌楊叛兒，妾勸新豐酒。何許最關人，烏啼白門柳。烏啼隱楊花，君醉留妾家。博山爐中沉香火，雙煙一氣凌紫霞。,
憶舊遊寄譙郡元參軍,李白,憶昔洛陽董糟丘，為余天津橋南造酒樓。黃金白璧買歌笑，一醉累月輕王侯。海內賢豪青雲客，就中與君心莫逆。回山轉海不作難，傾情倒意無所惜。我向淮南攀桂枝，君留洛北愁夢思。不忍別，還相隨。相隨迢迢訪仙城，三十六曲水回縈。一溪初入千花明，萬壑度盡松風聲。銀鞍金絡倒平地，漢東太守來相迎。紫陽之真人，邀我吹玉笙。餐霞樓上動仙樂，嘈然宛似鸞鳳鳴。袖長管催欲輕舉，漢中太守醉起舞。手持錦袍覆我身，我醉橫眠枕其股。當筵意氣凌九霄，星離雨散不終朝，分飛楚關山水遙。餘既還山尋故巢，君亦歸家渡渭橋。君家嚴君勇貔虎，作尹幷州遏戎虜。五月相呼度太行，摧輪不道羊腸苦。行來北涼歲月深，感君貴義輕黃金。瓊杯綺食青玉案，使我醉飽無歸心。時時出向城西曲，晉祠流水如碧玉。浮舟弄水簫鼓鳴，微波龍鱗莎草綠。興來攜妓恣經過，其若楊花似雪何。紅妝欲醉宜斜日，百尺清潭寫翠娥。翠娥嬋娟初月輝，美人更唱舞羅衣。清風吹歌入空去，歌曲自繞行雲飛。此時行樂難再遇，西遊因獻長楊賦。北闕青雲不可期，東山白首還歸去。渭橋南頭一遇君，酇臺之北又離群。問餘別恨知多少，落花春暮爭紛紛。言亦不可盡，情亦不可極。呼兒長跪緘此辭，寄君千里遙相憶。,友情詩
妾薄命,李白,漢帝寵阿嬌，貯之黃金屋。咳唾落九天，隨風生珠玉。寵極愛還歇，妒深情卻疏。長門一步地，不肯暫回車。雨落不上天，水覆難再收。君情與妾意，各自東西流。昔日芙蓉花，今成斷根草。以色事他人，能得幾時好。,哲理詩
白頭吟,李白,錦水東北流，波盪雙鴛鴦。雄巢漢宮樹，雌弄秦草芳。寧同萬死碎綺翼，不忍雲間兩分張。此時阿嬌正嬌妒，獨坐長門愁日暮。但願君恩顧妾深，豈惜黃金買詞賦。相如作賦得黃金，丈夫好新多異心。一朝將聘茂陵女，文君因贈白頭吟。東流不作西歸水，落花辭條羞故林。兔絲固無情，隨風任傾倒。誰使女蘿枝，而來強縈抱。兩草猶一心，人心不如草。莫卷龍鬚席，從他生網絲。且留琥珀枕，或有夢來時。覆水再收豈滿杯，棄妾已去難重回。古來得意不相負，只今惟見青陵臺。,
勞勞亭,李白,天下傷心處，勞勞送客亭。春風知別苦，不遣柳條青。,送別詩
