name,author,content,tag
望天门山,李白,天门中断楚江开，碧水东流至此回。两岸青山相对出，孤帆一片日边来。,山水诗，小学
侠客行,李白,赵客缦胡缨，吴钩霜雪明。银鞍照白马，飒沓如流星。十步杀一人，千里不留行。事了拂衣去，深藏身与名。闲过信陵饮，脱剑膝前横。将炙啖朱亥，持觞劝侯嬴。三杯吐然诺，五岳倒为轻。眼花耳热后，意气素霓生。救赵挥金槌，邯郸先震惊。千秋二壮士，煊赫大梁城。纵死侠骨香，不惭世上英。谁能书閤下，白首太玄经。,
菩萨蛮·举头忽见衡阳雁,李白,举头忽见衡阳雁。千声万字情何限。叵而薄情夫。一行书也无。泣归香阁恨。和泪掩红粉。待雁却回时。也无书寄伊。,思念诗
菩萨蛮·平林漠漠烟如织,李白,平林漠漠烟如织，寒山一带伤心碧。暝色入高楼，有人楼上愁。玉阶空伫立，宿鸟归飞急。何处是归程？长亭连短亭。,描写秋天，豪放诗
行路难其一,李白,金樽清酒斗十千，玉盘珍羞直万钱。停杯投箸不能食，拔剑四顾心茫然。欲渡黄河冰塞川，将登太行雪满山。闲来垂钓碧溪上，忽复乘舟梦日边。行路难，行路难，多歧路，今安在。长风破浪会有时，直挂云帆济沧海。,励志诗，友情诗，哲理诗，唐诗三百首，初中，怀才不遇
送友人,李白,青山横北郭，白水绕东城。此地一为别，孤蓬万里征。浮云游子意，落日故人情。挥手自兹去，萧萧班马鸣。,送别诗，友情诗，唐诗三百首，初中
峨眉山月歌,李白,峨眉山月半轮秋，影入平羌江水流。夜发清溪向三峡，思君不见下渝州。,描写秋天，初中
渡荆门送别,李白,渡远荆门外，来从楚国游。山随平野尽，江入大荒流。月下飞天境，云生结海楼。仍怜故乡水，万里送行舟。,送别诗，思乡诗，唐诗三百首，初中
关山月,李白,明月出天山，苍茫云海间。长风几万里，吹度玉门关。汉下白登道，胡窥青海湾。由来征战地，不见有人还。戍客望边邑，思归多苦颜。高楼当此夜，叹息未应闲。,思乡诗，唐诗三百首
送孟浩然之广陵,李白,故人西辞黄鹤楼，烟花三月下扬州。孤帆远影碧空尽，唯见长江天际流。,送别诗，友情诗，唐诗三百首，小学
闻王昌龄左迁龙标，遥有此寄,李白,杨花落尽子规啼，闻道龙标过五溪。我寄愁心与明月，随君直到夜郎西。,友情诗，思乡诗，初中
古朗月行,李白,小时不识月，呼作白玉盘。又疑瑶台镜，飞在青云端。仙人垂两足，桂树作团团。白兔捣药成，问言与谁餐。蟾蜍蚀圆影，大明夜已残。羿昔落九乌，天人清且安。阴精此沦惑，去去不足观。忧来其如何，凄怆摧心肝。,描写月亮
登金陵凤凰台,李白,凤凰台上凤凰游，凤去台空江自流。吴宫花草埋幽径，晋代衣冠成古丘。三山半落青天外，二水中分白鹭洲。总为浮云能蔽日，长安不见使人愁。,唐诗三百首，高中，怀古诗，咏史诗
清平乐·禁庭春昼,李白,禁庭春昼，莺羽披新绣。百草巧求花下斗，只赌珠玑满斗。日晚却理残妆，御前闲舞霓裳。谁道腰肢窈窕，折旋笑得君王。,
清平乐·禁闱清夜,李白,禁闱清夜，月探金窗罅。玉帐鸳鸯喷兰麝，时落银灯香□。女伴莫话孤眠，六宫罗绮三千。一笑皆生百媚，宸衷教在谁边？,
春夜洛城闻笛,李白,谁家玉笛暗飞声，散入春风满洛城。此夜曲中闻折柳，何人不起故园情。,思乡诗，初中
忆秦娥·箫声咽,李白,箫声咽，秦娥梦断秦楼月。秦楼月，年年柳色，灞陵伤别。乐游原上清秋节，咸阳古道音尘绝。音尘绝，西风残照，汉家陵阙。,思念诗，豪放诗
宣州谢朓楼饯别校书叔云,李白,弃我去者，昨日之日不可留；乱我心者，今日之日多烦忧。长风万里送秋雁，对此可以酣高楼。蓬莱文章建安骨，中间小谢又清发。俱怀逸兴壮思飞，欲上青天揽明月。抽刀断水水更流，举杯销愁愁更愁。人生在世不称意，明朝散发弄扁舟。,唐诗三百首，初中
短歌行,李白,白日何短短，百年苦易满。苍穹浩茫茫，万劫太极长。麻姑垂两鬓，一半已成霜。天公见玉女，大笑亿千场。吾欲揽六龙，回车挂扶桑。北斗酌美酒，劝龙各一觞。富贵非所愿，与人驻颜光。,惜时，人生
春思,李白,燕草如碧丝，秦桑低绿枝。当君怀归日，是妾断肠时。春风不相识，何事入罗帏。,描写春天，思念诗，唐诗三百首
夜宿山寺,李白,危楼高百尺，手可摘星辰。不敢高声语，恐惊天上人。,
行路难其二,李白,大道如青天，我独不得出。羞逐长安社中儿，赤鸡白狗赌梨栗。弹剑作歌奏苦声，曳裾王门不称情。淮阴市井笑韩信，汉朝公卿忌贾生。君不见昔时燕家重郭隗，拥篲折节无嫌猜。剧辛乐毅感恩分，输肝剖胆效英才。昭王白骨萦蔓草，谁人更扫黄金台？行路难，归去来！分类标签:唐诗三百首【注释】：　　“大道如青天，我独不得出。”这个开头与第一首不同。第一首用赋的手法，从筵席上的美酒佳肴写起，起得比较平。这一首，一开头就陡起壁立，让久久郁积在内心里的感受，一下子喷发出来。亦赋亦比，使读者感到它的思想感情内容十分深广。后来孟郊写了“出门如有碍，谁谓天地宽”的诗句，可能受了此诗的启发，但气局比李白差多了。能够和它相比的，还是李白自己的诗：“蜀道之难，难于上青天”这类诗句，大概只有李白那种胸襟才能写得出。不过，《蜀道难》用徒步上青天来比喻蜀道的艰难，使人直接想到那一带山川的艰险，却并不感到文意上有过多的埋伏。而这一首，用青天来形容大道的宽阔，照说这样的大道是易于行路的，但紧接着却是“我独不得出”，就让人感到这里面有许多潜台词。这样，这个警句的开头就引起了人们对下文的注意。　　“羞逐”以下六句，是两句一组。“羞逐”两句是写自己的不愿意。唐代上层社会喜欢拿斗鸡进行游戏或赌博。唐玄宗曾在宫内造鸡坊，斗鸡的小儿因而得宠。当时有“生儿不用识文字，斗鸡走狗胜读书”的民谣。如果要去学斗鸡，是可以交接一些纨袴子弟，在仕途上打开一点后门的。但李白对此嗤之以鼻。所以声明自己羞于去追随长安里社中的小儿。这两句和他在《答王十二寒夜独酌有怀》中所说的“君不能狸膏金距学斗鸡，坐令鼻息干虹霓”是一个意思。都是说他不屑与“长安社中儿”为伍。那末，去和那些达官贵人交往呢？“曳裾王门不称情，弹剑作歌奏苦声。”“曳裾王门”，即拉起衣服前襟，出入权贵之门。“弹剑作歌”，用的是冯谖的典故。冯谖在孟尝君门下作客，觉得孟尝君对自己不够礼遇，开始时经常弹剑而歌，表示要回去。李白是希望“平交王侯”的，而现在在长安，权贵们并不把他当一回事，因而使他象冯谖一样感到不能忍受。这两句是写他的不称意。“淮阴市井笑韩信，汉朝公卿忌贾生。”韩信未得志时，在淮阴曾受到一些市井无赖们的嘲笑和侮辱。贾谊年轻有才，汉文帝本打算重用，但由于受到大臣灌婴、冯敬等的忌妒、反对，后来竟遭贬逐。李白借用了韩信、贾谊的典故，写出在长安时一般社会上的人对他嘲笑、轻视，而当权者则加以忌妒和打击。这两句是写他的不得志。　　“君不见”以下六句，深情歌唱当初燕国君臣互相尊重和信任，流露他对建功立业的渴望，表现了他对理想的君臣关系的追求。战国时燕昭王为了使国家富强，尊郭隗为师，于易水边筑台置黄金其上，以招揽贤士。于是乐毅、邹衍、剧辛纷纷来归，为燕所用。燕昭王对于他们不仅言听计从，而且屈己下士，折节相待。当邹衍到燕时，昭王“拥篲先驱”，亲自扫除道路迎接，恐怕灰尘飞扬，用衣袖挡住扫帚，以示恭敬。李白始终希望君臣之间能够有一种比较推心置腹的关系。他常以伊尹、姜尚、张良、诸葛亮自比，原因之一，也正因为他们和君主之间的关系，比较符合自己的理想。但这种关系在现实中却是不存在的。唐玄宗这时已经腐化而且昏庸，根本没有真正的求贤、重贤之心，下诏召李白进京，也只不过是装出一副爱才的姿态，并要他写一点歌功颂德的文字而已。“昭王白骨萦蔓草，谁人更扫黄金台？”慨叹昭王已死，没有人再洒扫黄金台，实际上是表明他对唐玄宗的失望。诗人的感慨是很深的，也是很沉痛的。　　以上十二句，都是承接“大道如青天，我独不得出”，对“行路难”作具体描写的。既然朝廷上下都不是看重他，而是排斥他，那末就只有拂袖而去了。“行路难，归去来！”在当时的情况下，他只有此路可走。这两句既是沉重的叹息，也是愤怒的抗议。　　这首诗表现了李白对功业的渴望，流露出在困顿中仍然想有所作为的积极用世的热情，他向往象燕昭王和乐毅等人那样的风云际会，希望有“输肝剖胆效英才”的机缘。篇末的“行路难，归去来”，只是一种愤激之词，只是比较具体地指要离开长安，而不等于要消极避世，并且也不排斥在此同时他还抱有它日东山再起“直挂云帆济沧海”的幻想。（余恕诚）,唐诗三百首
从军行,李白,从军玉门道，逐虏金微山。笛奏梅花曲，刀开明月环。鼓声鸣海上，兵气拥云间。愿斩单于首，长驱静铁关。,战争诗
从军行,李白,百战沙场碎铁衣，城南已合数重围。突营射杀呼延将，独领残兵千骑归。,边塞诗，战争诗
越中览古,李白,越王句践破吴归，义士还乡尽锦衣。宫女如花满春殿，只今惟有鹧鸪飞。,怀古诗
秋思,李白,春阳如昨日，碧树鸣黄鹂。芜然蕙草暮，飒尔凉风吹。天秋木叶下，月冷莎鸡悲。坐愁群芳歇，白露凋华滋。,描写秋天
秋思,李白,燕支黄叶落，妾望自登台。海上碧云断，单于秋色来。胡兵沙塞合，汉使玉关回。征客无归日，空悲蕙草摧。,
把酒问月,李白,青天有月来几时，我今停杯一问之：人攀明月不可得，月行却与人相随？皎如飞镜临丹阙，绿烟灭尽清辉发？但见宵从海上来，宁知晓向云间没？白兔捣药秋复春，嫦娥孤栖与谁邻？今人不见古时月，今月曾经照古人。古人今人若流水，共看明月皆如此。唯愿当歌对酒时，月光长照金樽里。,描写月亮，哲理诗
玉阶怨,李白,玉阶生白露，夜久侵罗袜。却下水晶帘，玲珑望秋月。,唐诗三百首，孤独
古风其十九,李白,西上莲花山，迢迢见明星。素手把芙蓉，虚步蹑太清。霓裳曳广带，飘拂升天行。邀我登云台，高揖卫叔卿。恍恍与之去，驾鸿凌紫冥。俯视洛阳川，茫茫走胡兵。流血涂野草，豺狼尽冠缨。,
送别,李白,斗酒渭城边，垆头醉不眠。梨花千树雪，杨叶万条烟。惜别倾壶醑，临分赠马鞭。看君颍上去，新月到应圆。,
送别,李白,水色南天远，舟行若在虚。迁人发佳兴，吾子访闲居。日落看归鸟，潭澄羡跃鱼。圣朝思贾谊，应降紫泥书。,
送别,李白,寻阳五溪水，沿洄直入巫山里。胜境由来人共传，君到南中自称美。送君别有八月秋，飒飒芦花复益愁。云帆望远不相见，日暮长江空自流。,
庐山谣寄卢侍御虚舟,李白,我本楚狂人，凤歌笑孔丘。手持绿玉杖，朝别黄鹤楼。五岳寻仙不辞远，一生好入名山游。庐山秀出南斗傍，屏风九叠云锦张，影落明湖青黛光。金阙前开二峰长，银河倒挂三石梁。香炉瀑布遥相望，回崖沓嶂凌苍苍。翠影红霞映朝日，鸟飞不到吴天长。登高壮观天地间，大江茫茫去不还。黄云万里动风色，白波九道流雪山。好为庐山谣，兴因庐山发。闲窥石镜清我心，谢公行处苍苔没。早服还丹无世情，琴心三叠道初成。遥见仙人彩云里，手把芙蓉朝玉京。先期汗漫九垓上，愿接卢敖游太清。,山水诗，唐诗三百首
长歌行,李白,桃李得日开，荣华照当年。东风动百物，草木尽欲言。枯枝无丑叶，涸水吐清泉。大力运天地，羲和无停鞭。功名不早著，竹帛将何宣。桃李务青春，谁能贯白日。富贵与神仙，蹉跎成两失。金石犹销铄，风霜无久质。畏落日月后，强欢歌与酒。秋霜不惜人，倏忽侵蒲柳。,
下终南山过斛斯山人宿置酒,李白,暮从碧山下，山月随人归。却顾所来径，苍苍横翠微。相携及田家，童稚开荆扉。绿竹入幽径，青萝拂行衣。欢言得所憩，美酒聊共挥。长歌吟松风，曲尽河星稀。我醉君复乐，陶然共忘机。,田园诗，唐诗三百首
听蜀僧浚弹琴,李白,蜀僧抱绿绮，西下峨眉峰。为我一挥手，如听万壑松。客心洗流水，馀响入霜钟。不觉碧山暮，秋云暗几重。,唐诗三百首
金陵酒肆留别,李白,风吹柳花满店香，吴姬压酒唤客尝。金陵子弟来相送，欲行不行各尽觞。请君试问东流水，别意与之谁短长。,唐诗三百首
子夜四时歌·夏歌,李白,镜湖三百里，菡萏发荷花。五月西施采，人看隘若耶。回舟不待月，归去越王家。,唐诗三百首
子夜四时歌·冬歌,李白,明朝驿使发，一夜絮征袍。素手抽针冷，那堪把剪刀。裁缝寄远道，几日到临洮。,唐诗三百首
赠孟浩然,李白,吾爱孟夫子，风流天下闻。红颜弃轩冕，白首卧松云。醉月频中圣，迷花不事君。高山安可仰，徒此揖清芬。,唐诗三百首，赞美诗
杂诗,李白,白日与明月，昼夜尚不闲。况尔悠悠人，安得久世间。传闻海水上，乃有蓬莱山。玉树生绿叶，灵仙每登攀。一食驻玄发，再食留红颜。吾欲从此去，去之无时还。,
怨情,李白,美人卷珠帘，深坐颦蛾眉。但见泪痕湿，不知心恨谁。,唐诗三百首
怨情,李白,新人如花虽可宠，故人似玉由来重。花性飘扬不自持，玉心皎洁终不移。故人昔新今尚故，还见新人有故时。请看陈后黄金屋，寂寂珠帘生网丝。,
夜泊牛渚怀古,李白,牛渚西江夜，青天无片云。登舟望秋月，空忆谢将军。余亦能高咏，斯人不可闻。明朝挂帆席，枫叶落纷纷。,描写月亮，唐诗三百首
陌上桑,李白,美女渭桥东，春还事蚕作。五马如飞龙，青丝结金络。不知谁家子，调笑来相谑。妾本秦罗敷，玉颜艳名都。绿条映素手，采桑向城隅。使君且不顾，况复论秋胡。寒螀爱碧草，鸣凤栖青梧。托心自有处，但怪傍人愚。徒令白日暮，高驾空踟蹰。,赞美诗
乌夜啼,李白,黄云城边乌欲栖，归飞哑哑枝上啼。机中织锦秦川女，碧纱如烟隔窗语。停梭怅然忆远人，独宿孤房泪如雨。,
梁甫吟,李白,长啸梁甫吟，何时见阳春？君不见，朝歌屠叟辞棘津，八十西来钓渭滨。宁羞白发照清水，逢时壮气思经纶。广张三千六百钓，风期暗与文王亲。大贤虎变愚不测，当年颇似寻常人。君不见，高阳酒徒起草中，长揖山东隆准公。入门不拜逞雄辩，两女辍洗来趋风。东下齐城七十二，指挥楚汉如旋蓬。狂客落魄尚如此，何况壮士当群雄！我欲攀龙见明主，雷公砰訇震天鼓。帝旁投壶多玉女，三时大笑开电光，倏烁晦冥起风雨。阊阖九门不可通，以额扣关阍者怒。白日不照我精诚，杞国无事忧天倾。猰貐磨牙竞人肉，驺虞不折生草茎。手接飞猱搏雕虎，侧足焦原未言苦。智者可卷愚者豪，世人见我轻鸿毛。力排南山三壮士，齐相杀之费二桃。吴楚弄兵无剧孟，亚夫咍尔为徒劳。梁甫吟，声正悲。张公两龙剑，神物合有时。风云感会起屠钓，大人臲屼当安之。,怀古诗
访戴天山道士不遇,李白,犬吠水声中，桃花带雨浓。树深时见鹿，溪午不闻钟。野竹分青霭，飞泉挂碧峰。无人知所去，愁倚两三松。,
与夏十二登岳阳楼,李白,楼观岳阳尽，川迥洞庭开。雁引愁心去，山衔好月来。云间连下榻，天上接行杯。醉后凉风起，吹人舞袖回。,山水诗
山中问答,李白,问余何意栖碧山，笑而不答心自闲。桃花流水窅然去，别有天地非人间。,
战城南,李白,战地何昏昏。战士如群蚁。气重日轮红。血染蓬蒿紫。乌乌衔人肉。食闷飞不起。昨日城上人。今日城下鬼。旗色如罗星。鼙声殊未已。妾家夫与儿。俱在鼙声里。,
战城南,李白,去年战，桑乾源。今年战，葱河道。洗兵条支海上波，放马天山雪中草。万里长征战，三军尽衰老。匈奴以杀戮为耕作，古来唯见白骨黄沙田。秦家筑城避胡处，1汉家还有烽火燃。烽火燃不息，征战无已时。2野战格斗死，败马号鸣向天悲。鸟鸢啄人肠，衔飞上挂枯树枝。3士卒涂草莽，将军空尔为。乃知兵者是凶器，圣人不得已而用之。,战争诗，忧国忧民，讽刺诗
清溪行,李白,清溪清我心，水色异诸水。借问新安江，见底何如此。人行明镜中，鸟度屏风里。向晚猩猩啼，空悲远游子。,
南陵别儿童入京,李白,白酒新熟山中归，黄鸡啄黍秋正肥。呼童烹鸡酌白酒，儿女嬉笑牵人衣。高歌取醉欲自慰，起舞落日争光辉。游说万乘苦不早，著鞭跨马涉远道。会稽愚妇轻买臣，余亦辞家西入秦。仰天大笑出门去，我辈岂是蓬蒿人。,
古意,李白,君为女萝草，妾作兔丝花。轻条不自引，为逐春风斜。百丈托远松，缠绵成一家。谁言会面易，各在青山崖。女萝发馨香，兔丝断人肠。枝枝相纠结，叶叶竞飘扬。生子不知根，因谁共芬芳。中巢双翡翠，上宿紫鸳鸯。若识二草心，海潮亦可量。,闺怨诗
北风行,李白,烛龙栖寒门，光曜犹旦开。日月照之何不及此，唯有北风号怒天上来。燕山雪花大如席，片片吹落轩辕台。幽州思妇十二月，停歌罢笑双蛾摧。倚门望行人，念君长城苦寒良可哀。别时提剑救边去，遗此虎纹金鞞靫。中有一双白羽箭，蜘蛛结网生尘埃。箭空在，人今战死不复回。不忍见此物，焚之已成灰。黄河捧土尚可塞，北风雨雪恨难裁。,
送友人入蜀,李白,见说蚕丛路，崎岖不易行。山从人面起，云傍马头生。芳树笼秦栈，春流绕蜀城。升沉应已定，不必问君平。,送别诗，山水诗，友情诗，初中
襄阳歌,李白,落日欲没岘山西，倒著接篱花下迷。襄阳小儿齐拍手，拦街争唱白铜鞮。傍人借问笑何事，笑杀山翁醉似泥。鸬鹚杓，鹦鹉杯。百年三万六千日，一日须倾三百杯。遥看汉水鸭头绿，恰似葡萄初酦醅。此江若变作春酒，垒麹便筑糟丘台。千金骏马换小妾，笑坐雕鞍歌落梅。车傍侧挂一壶酒，凤笙龙管行相催。咸阳市中叹黄犬，何如月下倾金罍。君不见晋朝羊公一片石，龟头剥落生莓苔。泪亦不能为之堕，心亦不能为之哀。清风朗月不用一钱买，玉山自倒非人推。舒州杓，力士铛，李白与尔同死生。襄王云雨今安在，江水东流猿夜声。,
采莲曲,李白,若耶溪边采莲女，笑隔荷花共人语。日照新妆水底明，风飘香袖空中举。岸上谁家游冶郎，三三五五映垂杨。紫骝嘶入落花去，见此踟蹰空断肠。,描写荷花
答王十二寒夜独酌有怀,李白,昨夜吴中雪，子猷佳兴发。万里浮云卷碧山，青天中道流孤月。孤月沧浪河汉清，北斗错落长庚明。怀余对酒夜霜白，玉床金井水峥嵘。人生飘忽百年内，且须酣畅万古情。君不能狸膏金距学斗鸡，坐令鼻息吹虹霓。君不能学哥舒横行青海夜带刀，西屠石堡取紫袍。吟诗作赋北窗里，万言不直一杯水。世人闻此皆掉头，有如东风射马耳。鱼目亦笑我，请与明月同。骅骝拳跼不能食，蹇驴得志鸣春风。折杨皇华合流俗，晋君听琴枉清角。巴人谁肯和阳春。楚地由来贱奇璞。黄金散尽交不成，自首为儒身被轻。一谈一笑失颜色，苍蝇贝锦喧谤声。曾参岂是杀人者，谗言三及慈母惊。与君论心握君手，荣辱于余亦何有。孔圣犹闻伤凤麟，董龙更是何鸡狗。一生傲岸苦不谐，恩疏媒劳志多乖。严陵高揖汉天子，何必长剑拄颐事玉阶。达亦不足贵，穷亦不足悲。韩信羞将绛灌比，祢衡耻逐屠沽儿。君不见李北海，英风豪气今何在。君不见裴尚书，土坟三尺蒿棘居。少年早欲五湖去，见此弥将钟鼎疏。,
远别离,李白,远别离，古有皇英之二女，乃在洞庭之南，潇湘之浦。海水直下万里深，谁人不言此离苦。日惨惨兮云冥冥，猩猩啼烟兮鬼啸雨。我纵言之将何补，皇穹窃恐不照余之忠诚。云凭凭兮欲吼怒，尧舜当之亦禅禹。君失臣兮龙为鱼，权归臣兮鼠变虎。或言尧幽囚，舜野死，九疑联绵皆相似，重瞳孤坟竟何是。帝子泣兮绿云间，随风波兮去无还。恸哭兮远望，见苍梧之深山。苍梧山崩湘水绝，竹上之泪乃可灭。,忧国忧民
客中行,李白,兰陵美酒郁金香，玉碗盛来琥珀光。但使主人能醉客，不知何处是他乡。,赞美诗
白马篇,李白,龙马花雪毛，金鞍五陵豪。秋霜切玉剑，落日明珠袍。斗鸡事万乘，轩盖一何高。弓摧南山虎，手接太行猱。酒后竞风采，三杯弄宝刀。杀人如剪草，剧孟同游遨。发愤去函谷，从军向临洮。叱咤经百战，匈奴尽奔逃。归来使酒气，未肯拜萧曹。羞入原宪室，荒淫隐蓬蒿。,描写马
杨叛儿,李白,君歌杨叛儿，妾劝新丰酒。何许最关人，乌啼白门柳。乌啼隐杨花，君醉留妾家。博山炉中沉香火，双烟一气凌紫霞。,
忆旧游寄谯郡元参军,李白,忆昔洛阳董糟丘，为余天津桥南造酒楼。黄金白璧买歌笑，一醉累月轻王侯。海内贤豪青云客，就中与君心莫逆。回山转海不作难，倾情倒意无所惜。我向淮南攀桂枝，君留洛北愁梦思。不忍别，还相随。相随迢迢访仙城，三十六曲水回萦。一溪初入千花明，万壑度尽松风声。银鞍金络倒平地，汉东太守来相迎。紫阳之真人，邀我吹玉笙。餐霞楼上动仙乐，嘈然宛似鸾凤鸣。袖长管催欲轻举，汉中太守醉起舞。手持锦袍覆我身，我醉横眠枕其股。当筵意气凌九霄，星离雨散不终朝，分飞楚关山水遥。余既还山寻故巢，君亦归家渡渭桥。君家严君勇貔虎，作尹并州遏戎虏。五月相呼度太行，摧轮不道羊肠苦。行来北凉岁月深，感君贵义轻黄金。琼杯绮食青玉案，使我醉饱无归心。时时出向城西曲，晋祠流水如碧玉。浮舟弄水箫鼓鸣，微波龙鳞莎草绿。兴来携妓恣经过，其若杨花似雪何。红妆欲醉宜斜日，百尺清潭写翠娥。翠娥婵娟初月辉，美人更唱舞罗衣。清风吹歌入空去，歌曲自绕行云飞。此时行乐难再遇，西游因献长杨赋。北阙青云不可期，东山白首还归去。渭桥南头一遇君，酂台之北又离群。问余别恨知多少，落花春暮争纷纷。言亦不可尽，情亦不可极。呼儿长跪缄此辞，寄君千里遥相忆。,友情诗
妾薄命,李白,汉帝宠阿娇，贮之黄金屋。咳唾落九天，随风生珠玉。宠极爱还歇，妒深情却疏。长门一步地，不肯暂回车。雨落不上天，水覆难再收。君情与妾意，各自东西流。昔日芙蓉花，今成断根草。以色事他人，能得几时好。,哲理诗
白头吟,李白,锦水东北流，波荡双鸳鸯。雄巢汉宫树，雌弄秦草芳。宁同万死碎绮翼，不忍云间两分张。此时阿娇正娇妒，独坐长门愁日暮。但愿君恩顾妾深，岂惜黄金买词赋。相如作赋得黄金，丈夫好新多异心。一朝将聘茂陵女，文君因赠白头吟。东流不作西归水，落花辞条羞故林。兔丝固无情，随风任倾倒。谁使女萝枝，而来强萦抱。两草犹一心，人心不如草。莫卷龙须席，从他生网丝。且留琥珀枕，或有梦来时。覆水再收岂满杯，弃妾已去难重回。古来得意不相负，只今惟见青陵台。,
劳劳亭,李白,天下伤心处，劳劳送客亭。春风知别苦，不遣柳条青。,送别诗
梁园吟,李白,我浮黄云去京阙，挂席欲进波连山。天长水阔厌远涉，访古始及平台间。平台为客忧思多，对酒遂作梁园歌。却忆蓬池阮公咏，因吟渌水扬洪波。洪波浩荡迷旧国，路远西归安可得。人生达命岂暇愁，且饮美酒登高楼。平头奴子摇大扇，五月不热疑清秋。玉盘杨梅为君设，吴盐如花皎白雪。持盐把酒但饮之，莫学夷齐事高洁。昔人豪贵信陵君，今人耕种信陵坟。荒城虚照碧山月，古木尽入苍梧云。梁王宫阙今安在，枚马先归不相待。舞影歌声散绿池，空馀汴水东流海。沉吟此事泪满衣，黄金买醉未能归。连呼五白行六博，分曹赌酒酣驰辉。歌且谣，意方远。东山高卧时起来，欲济苍生未应晚。,
对酒,李白,劝君莫拒杯，春风笑人来。桃李如旧识，倾花向我开。流莺啼碧树，明月窥金罍。昨日朱颜子，今日白发催。棘生石虎殿，鹿走姑苏台。自古帝王宅，城阙闭黄埃。君若不饮酒，昔人安在哉。,
对酒,李白,蒲萄酒，金叵罗，吴姬十五细马驮。青黛画眉红锦靴，道字不正娇唱歌。玳瑁筵中怀里醉，芙蓉帐底奈君何。,
